country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,1994,male,55-74 years,299,3066800,9.75,Mexico1994,,"527,813,238,126",6735,Silent
Mexico,1994,male,25-34 years,550,6757200,8.14,Mexico1994,,"527,813,238,126",6735,Boomers
Mexico,1994,male,35-54 years,554,7691700,7.2,Mexico1994,,"527,813,238,126",6735,Boomers
Mexico,1994,male,15-24 years,646,9882000,6.54,Mexico1994,,"527,813,238,126",6735,Generation X
Mexico,1994,female,15-24 years,168,9886600,1.7,Mexico1994,,"527,813,238,126",6735,Generation X
Mexico,1994,female,75+ years,12,764600,1.57,Mexico1994,,"527,813,238,126",6735,G.I. Generation
Mexico,1994,female,35-54 years,88,8137700,1.08,Mexico1994,,"527,813,238,126",6735,Boomers
Mexico,1994,female,25-34 years,71,7102600,1,Mexico1994,,"527,813,238,126",6735,Boomers
Mexico,1994,female,55-74 years,28,3420700,0.82,Mexico1994,,"527,813,238,126",6735,Silent
Mexico,1994,male,5-14 years,46,10730100,0.43,Mexico1994,,"527,813,238,126",6735,Millenials
Mexico,1994,female,5-14 years,26,10360700,0.25,Mexico1994,,"527,813,238,126",6735,Millenials
Mexico,1995,male,75+ years,111,590900,18.78,Mexico1995,0.67,"360,073,909,244",4505,G.I. Generation
Mexico,1995,male,55-74 years,298,3172300,9.39,Mexico1995,0.67,"360,073,909,244",4505,Silent
Mexico,1995,male,25-34 years,640,6993100,9.15,Mexico1995,0.67,"360,073,909,244",4505,Generation X
Mexico,1995,male,15-24 years,755,9978800,7.57,Mexico1995,0.67,"360,073,909,244",4505,Generation X
Mexico,1995,male,35-54 years,580,7960500,7.29,Mexico1995,0.67,"360,073,909,244",4505,Boomers
Mexico,1995,female,15-24 years,198,9970200,1.99,Mexico1995,0.67,"360,073,909,244",4505,Generation X
Mexico,1995,female,25-34 years,87,7352700,1.18,Mexico1995,0.67,"360,073,909,244",4505,Generation X
Mexico,1995,female,35-54 years,89,8443500,1.05,Mexico1995,0.67,"360,073,909,244",4505,Boomers
Mexico,1995,female,75+ years,8,789100,1.01,Mexico1995,0.67,"360,073,909,244",4505,G.I. Generation
